trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-74.17790175607934,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-88.587986237651,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,11,1.4553312396984477,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-187.65323749043333,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-99.04595984258134,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,1,-33.01839518463448,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-96.57382799792039,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-92.86653047385315,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-131.15915457442603,"{0: 11, 1: 2, 2: 11, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-100.43323009981916,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-119.72287840450585,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-77.79051944287701,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-150.88813875764345,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-130.04407843582098,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",35,0,-106.70914202180262,"{0: 23, 1: 3, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-137.69250982845142,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-227.65213129247658,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-147.07711301234264,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,6,-64.32539349765581,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-173.0920687124437,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,12,-73.37931936234844,"{0: 6, 1: 0, 2: 6, 3: 1, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-122.37400263469445,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-195.44773062324452,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-100.64127338173728,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-86.87140882961913,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-215.82021047351972,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",30,0,-127.79355666497335,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-50.964970301093615,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-117.59190771620752,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-79.21881933776784,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-116.63875610637272,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-146.31094689343192,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",30,8,-77.41604574048844,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 1}",1
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-173.3916962784608,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-142.42203487979177,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",25,0,-113.54112872899117,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,10,-133.76178176041802,"{0: 6, 1: 1, 2: 6, 3: 0, 4: 2}",1
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,9.053122881049859,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-23.696494408651866,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-102.8478547739391,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-53.57291783904813,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-44.90963476691055,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-228.11083311597682,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 5}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-79.9422673260718,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,5,-44.383869057691946,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",25,0,-48.5972994922093,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-64.32435203942434,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-72.92832617642435,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",35,0,-219.05355760938141,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-44.90041587230574,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",30,0,-152.84672597354466,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-116.71231827549397,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,16,-28.329583992213255,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,1,-190.19202396493674,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 2}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",35,0,-75.68152632579068,"{0: 23, 1: 4, 2: 8, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-79.2291657500849,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-102.6217807249358,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,0,-132.72792233938893,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-66.05675949436912,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-55.15766876292834,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-126.65040794346632,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-155.7563940904799,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",35,0,-87.71071496087094,"{0: 29, 1: 0, 2: 4, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-83.3861002405627,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-50.73222249242626,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-148.2177329959921,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-106.71111254378144,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-32.74600512892835,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-22.500968112174927,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-87.52383053870984,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",35,0,-170.15607827323998,"{0: 23, 1: 3, 2: 6, 3: 0, 4: 3}",0
