trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.5}",25,0,-183.18197454014765,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
2,False,"{'e': 1.0, 'a': 0.5}",20,0,-66.15116703890307,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'e': 1.0, 'a': 0.5}",35,0,-64.5324938397042,"{0: 26, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,False,"{'e': 1.0, 'a': 0.5}",20,0,-106.7882012510134,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'e': 1.0, 'a': 0.5}",25,0,-97.66758176844523,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'e': 1.0, 'a': 0.5}",25,0,-58.905009195488994,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'e': 1.0, 'a': 0.5}",35,0,-263.9782799819264,"{0: 18, 1: 4, 2: 7, 3: 2, 4: 4}",0
8,False,"{'e': 1.0, 'a': 0.5}",25,0,-104.15153246458586,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
9,False,"{'e': 1.0, 'a': 0.5}",30,1,-140.40224755111933,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 2}",1
10,False,"{'e': 1.0, 'a': 0.5}",30,0,-119.53063340442513,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
11,False,"{'e': 1.0, 'a': 0.5}",20,2,-90.38806853446043,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 1}",1
12,False,"{'e': 1.0, 'a': 0.5}",20,0,-87.59470832210619,"{0: 9, 1: 2, 2: 9, 3: 0, 4: 0}",0
13,False,"{'e': 1.0, 'a': 0.5}",30,1,-219.61488984512067,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 4}",1
14,False,"{'e': 1.0, 'a': 0.5}",30,0,-102.39089973043852,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
15,False,"{'e': 1.0, 'a': 0.5}",25,0,-78.08522332595038,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'e': 1.0, 'a': 0.5}",30,4,-85.6414806489969,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 1}",1
17,False,"{'e': 1.0, 'a': 0.5}",20,0,-176.13734312329203,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
18,False,"{'e': 1.0, 'a': 0.5}",20,0,-169.96390793701906,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
19,False,"{'e': 1.0, 'a': 0.5}",25,16,-16.869583797861196,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'e': 1.0, 'a': 0.5}",20,0,-25.026645642423972,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
1,True,"{'e': 1.0, 'a': 0.5}",20,0,-122.49883206504899,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,True,"{'e': 1.0, 'a': 0.5}",25,0,-56.965771429403354,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
3,True,"{'e': 1.0, 'a': 0.5}",20,0,-33.922054469418924,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,True,"{'e': 1.0, 'a': 0.5}",20,0,-135.1160068016501,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,True,"{'e': 1.0, 'a': 0.5}",20,11,-48.60254056753829,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,True,"{'e': 1.0, 'a': 0.5}",35,0,-183.600530543478,"{0: 24, 1: 1, 2: 5, 3: 2, 4: 3}",0
7,True,"{'e': 1.0, 'a': 0.5}",25,0,-171.63136786149025,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,True,"{'e': 1.0, 'a': 0.5}",20,0,-165.299740812933,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
9,True,"{'e': 1.0, 'a': 0.5}",25,7,-33.87062303445859,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
10,True,"{'e': 1.0, 'a': 0.5}",20,0,-182.84726812342703,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
